step,train_loss,val_loss,lambda_max,trace,trace_normalized,frobenius_norm,sinkhorn_L0_to_L1,sinkhorn_L1_to_L2
0,2.2575409412384033,2.2565765380859375,-93.0130615234375,-1347.0212646484374,-1.7688299517672044,761.5323696337537,0.19538363814353943,0.18253520131111145
1000,0.00038840173510834575,0.00039110108627937734,0.8114844560623169,9.275919723510743,6.160499668795992,1.5057089882651724,5.538637638092041,47.538238525390625
2000,3.157467654091306e-05,3.174031007802114e-05,0.19764766097068787,1.794237780570984,5.977871043599656,0.3001466186682005,1.8988237380981445,8.659445762634277
3000,0.7520920038223267,0.798553466796875,573.3887939453125,1750.306396484375,2.5357558205067674,690.2503712422036,7.015631198883057,15.300653457641602
4000,6.0933827626286075e-05,6.238361675059423e-05,0.55516117811203,3.2756111145019533,5.284243408833383,0.6198827080952198,9.36734390258789,18.630050659179688
5000,2.71515928034205e-05,2.7478021365823224e-05,0.2273041158914566,1.5303610801696776,7.447460232651695,0.20548764711225415,2.1081037521362305,5.517873764038086
6000,4.061260187881999e-05,4.059202183270827e-05,0.7541307806968689,6.23384952545166,7.749192400358096,0.8044515097035905,7.393426418304443,11.930903434753418
7000,2.2672581962979166e-06,2.2825320229458157e-06,0.052664801478385925,0.3354264199733734,6.536693875983689,0.05131438405059102,1.073868989944458,4.4474945068359375
8000,1.7985887097893283e-05,1.7970520275412127e-05,0.12848475575447083,1.2958226442337035,7.32838693747382,0.1768223560368373,3.3493380546569824,2.582387924194336
9000,1.1007487955794204e-05,1.1385884135961533e-05,0.2913256585597992,1.4979058504104614,4.939750592076308,0.3032351173383537,2.682750940322876,3.14709734916687
10000,9.345496437163092e-06,9.59089993557427e-06,0.25092384219169617,1.6416484117507935,5.067180613231272,0.32397669178481026,2.5976643562316895,3.5493931770324707
11000,4.982575685374968e-09,7.63684493421124e-09,0.001325235702097416,0.014044717513024807,7.787071560802343,0.0018035942527768044,0.24983040988445282,0.33492183685302734
12000,8.787028349388493e-08,9.182840443600071e-08,0.0018652272410690784,0.024954288452863693,9.729098143433328,0.002564912809488579,0.3225783109664917,0.4666104316711426
13000,5.554408062380389e-07,5.623325591841422e-07,0.025888768956065178,0.1868750274181366,5.244925897395991,0.035629679250743396,0.3884495496749878,0.5433646440505981
14000,5.687587076863565e-07,6.077345346966467e-07,0.023187298327684402,0.23574159443378448,6.170006012399759,0.03820767661490418,0.38339364528656006,0.43862807750701904
15000,8.386094236811914e-07,1.1207069974261685e-06,0.18448522686958313,0.756070876121521,3.7929444459750483,0.19933613236118955,0.40241679549217224,0.3642316460609436
16000,2.1932645921651783e-08,2.421438694000244e-08,0.002509141806513071,0.024925389140844346,7.6184311616204115,0.0032717220398881717,0.23501506447792053,0.17481115460395813
17000,3.776512969011492e-08,4.270113862503422e-08,0.0026166599709540606,0.03076026439666748,8.7210934469558,0.0035271109733842733,0.2585109770298004,0.18836724758148193
18000,6.547197983763908e-08,8.069910251151668e-08,0.021307706832885742,0.14737938046455384,3.931860933777779,0.03748336549709808,0.3232346177101135,0.21825674176216125
19000,1.7648563499506054e-08,1.8067657592268915e-08,0.0060218218713998795,0.03556479029357433,4.643009178661507,0.00765985784758388,0.36355072259902954,0.18233248591423035
20000,2.8125942463930187e-08,2.9709189774962397e-08,0.008320288732647896,0.053536853194236754,5.001702164522851,0.010703726738064186,0.3571014404296875,0.17523862421512604
