step,train_loss,val_loss,lambda_max,trace,trace_normalized,frobenius_norm,sinkhorn_L0_to_L1,sinkhorn_L1_to_L2
0,3.627113471793564e-07,3.624785165357025e-07,0.012569241225719452,0.13646214306354523,8.255510737386613,0.016529824429341613,0.3269619047641754,0.18733438849449158
1000,1.4091687035033829e-06,1.4157267287373543e-06,0.07930625230073929,0.7727695107460022,8.10645160019948,0.09532771536278416,0.32413986325263977,0.29188621044158936
2000,1.789264729268325e-06,1.8009062614510185e-06,0.03126157820224762,0.4437044978141785,10.078397750233968,0.04402530132370276,0.31767699122428894,0.28449851274490356
3000,1.9345122836966766e-06,1.9309034087200416e-06,0.3221999406814575,1.1944159150123597,3.458120353515378,0.34539454758946353,0.39002320170402527,0.39775049686431885
4000,0.0001251501962542534,7.37773152650334e-05,78.12887573242188,202.37430419921876,2.0879263680208626,96.92597751473802,0.4193074405193329,0.45262911915779114
5000,4.055133828728685e-08,4.396618535906782e-08,0.003576490096747875,0.03248208165168762,7.497066469407032,0.004332638877384362,0.2782658040523529,0.15430918335914612
6000,5.624024197459221e-07,5.635665729641914e-07,0.0533650740981102,0.2655810534954071,6.607352227930386,0.040194777625559515,0.26218438148498535,0.1787089854478836
7000,1.091277226805687e-06,1.0943040251731873e-06,0.03511108458042145,0.2817449390888214,10.551370734526902,0.0267022120800738,0.24074891209602356,0.23417645692825317
8000,8.369485726689163e-07,8.32330727007502e-07,0.024543477222323418,0.26617738604545593,9.58558561119885,0.027768505424903892,0.27002179622650146,0.23984919488430023
9000,1.5381568800876266e-06,1.5936481077005737e-06,0.2353808581829071,2.0583011627197267,5.65818914950289,0.3637738344078798,0.3178424835205078,0.2595798671245575
10000,0.0011064053978770971,0.002501897979527712,227.72195434570312,32.9986083984375,0.1261010482602865,261.6838547632429,0.27295196056365967,0.2168709635734558
11000,7.551474112688084e-08,7.745499175371151e-08,0.006312218960374594,0.04323930367827415,8.690136530877467,0.004975675989052402,0.22004714608192444,0.13661977648735046
12000,3.6701871408695297e-07,3.695410271120636e-07,0.012582065537571907,0.11734886467456818,12.395102610221308,0.00946735725913228,0.21786272525787354,0.1448640376329422
13000,1.484295353293419e-07,1.4939966774818458e-07,0.019654402509331703,0.16817716062068938,6.1933514357334385,0.02715446755537993,0.24467602372169495,0.16476115584373474
14000,6.108700176810089e-07,5.550294304157433e-07,0.4327654540538788,1.2719360709190368,2.5335650629256574,0.5020341058264582,0.2825312614440918,0.2043112814426422
15000,2.3477090493884134e-08,2.3709921137538004e-08,0.004422575235366821,0.02731046751141548,5.238030867398269,0.00521388059803103,0.22935627400875092,0.11384960263967514
16000,6.790893536390286e-08,6.992680567918796e-08,0.0059582083486020565,0.054393301159143446,6.526695210513947,0.00833397292270068,0.22607243061065674,0.11265303194522858
17000,6.212697911678333e-08,7.206108421087265e-08,0.04226360842585564,0.20659260749816893,3.815575105461585,0.054144552731370386,0.25922060012817383,0.12647834420204163
18000,4.5882384256401565e-06,6.505133114842465e-06,8.120403289794922,20.817151260375976,2.4155723744817594,8.617895899245047,0.28125205636024475,0.15791086852550507
19000,3.050081431865692e-08,3.232465317637434e-08,0.0056778136640787125,0.03287011235952377,4.8234066978801255,0.006814708860020055,0.24025402963161469,0.10453391820192337
20000,4.625568905680666e-08,4.730342695324907e-08,0.005737073719501495,0.04956815168261528,5.793946220385319,0.008555162543313842,0.23511742055416107,0.10473589599132538
